Bug_ID,Date_Detected,Environment,Detected_By,Agent_ID,Severity,Application_Platform
B2330,2026-02-28 16:00:00,UAT,QA Team,A05,Minor,Salesforce Flows
B2331,2026-01-28 12:00:00,UAT,QA Team,A35,Critical,Salesforce Flows
B2332,2026-03-16 12:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2333,2026-02-03 09:00:00,UAT,QA Team,A15,Major,Salesforce Flows
B2334,2026-02-12 11:00:00,UAT,QA Team,A50,Major,Non-Salesforce Native
B2335,2026-04-14 15:00:00,Production,Client User,A40,Minor,Salesforce Flows
B2336,2026-01-02 09:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2337,2026-01-25 09:00:00,Production,Client User,A15,Critical,Salesforce Flows
B2338,2026-01-20 13:00:00,UAT,QA Team,A35,Major,Non-Salesforce Native
B2339,2026-02-09 09:00:00,UAT,QA Team,A35,Minor,Non-Salesforce Native
B2340,2026-03-18 10:00:00,Production,Client User,A25,Major,Non-Salesforce Native
B2341,2026-04-17 14:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2342,2026-03-29 16:00:00,UAT,QA Team,A30,Major,Salesforce Flows
B2343,2026-01-15 13:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2344,2026-01-10 12:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2345,2026-03-21 16:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2346,2026-02-19 09:00:00,Production,Client User,A30,Critical,Non-Salesforce Native
B2347,2026-03-13 11:00:00,UAT,QA Team,A20,Critical,Non-Salesforce Native
B2348,2026-01-25 12:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2349,2026-03-02 11:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2350,2026-01-27 15:00:00,Production,Client User,A25,Minor,Non-Salesforce Native
B2351,2026-01-29 14:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2352,2026-01-05 13:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2353,2026-04-23 09:00:00,UAT,QA Team,A45,Major,Salesforce Flows
B2354,2026-03-09 09:00:00,UAT,QA Team,A30,Critical,Salesforce Flows
B2355,2026-03-04 15:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2356,2026-02-20 16:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2357,2026-03-20 15:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2358,2026-04-28 14:00:00,UAT,QA Team,A10,Critical,Non-Salesforce Native
B2359,2026-03-06 11:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2360,2026-03-28 11:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2361,2026-02-05 12:00:00,Production,Client User,A30,Major,Non-Salesforce Native
B2362,2026-01-21 09:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2363,2026-01-23 09:00:00,Production,Client User,A45,Critical,Non-Salesforce Native
B2364,2026-02-07 11:00:00,Production,Client User,A30,Major,Salesforce Flows
B2365,2026-02-12 13:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2366,2026-03-18 10:00:00,Production,Client User,A40,Critical,Non-Salesforce Native
B2367,2026-03-24 16:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2368,2026-04-13 10:00:00,Production,Client User,A05,Critical,Non-Salesforce Native
B2369,2026-02-21 12:00:00,Production,Client User,A25,Minor,Non-Salesforce Native
B2370,2026-01-18 12:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2371,2026-01-09 12:00:00,UAT,QA Team,A20,Major,Salesforce Flows
B2372,2026-03-01 13:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2373,2026-04-21 12:00:00,UAT,QA Team,A45,Major,Non-Salesforce Native
B2374,2026-01-10 12:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2375,2026-03-23 11:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2376,2026-04-30 16:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2377,2026-02-10 16:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2378,2026-01-26 13:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2379,2026-02-13 11:00:00,Production,Client User,A30,Minor,Salesforce Flows
B2380,2026-01-25 13:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2381,2026-01-06 13:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2382,2026-02-26 12:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2383,2026-01-04 13:00:00,UAT,QA Team,A40,Major,Non-Salesforce Native
B2384,2026-01-04 10:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2385,2026-04-09 10:00:00,UAT,QA Team,A50,Minor,Salesforce Flows
B2386,2026-01-13 09:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2387,2026-02-01 12:00:00,UAT,QA Team,A30,Critical,Salesforce Flows
B2388,2026-04-07 14:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2389,2026-03-17 14:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2390,2026-04-03 13:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2391,2026-04-05 09:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2392,2026-02-26 16:00:00,UAT,QA Team,A30,Major,Salesforce Flows
B2393,2026-04-17 12:00:00,UAT,QA Team,A45,Critical,Salesforce Flows
B2394,2026-01-15 09:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2395,2026-02-28 11:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2396,2026-03-26 15:00:00,Production,Client User,A25,Minor,Salesforce Flows
B2397,2026-02-10 09:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2398,2026-02-20 10:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2399,2026-03-31 16:00:00,UAT,QA Team,A40,Critical,Salesforce Flows
B2400,2026-01-31 12:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2401,2026-01-09 16:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2402,2026-03-24 10:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2403,2026-01-07 14:00:00,UAT,QA Team,A40,Critical,Non-Salesforce Native
B2404,2026-01-17 15:00:00,UAT,QA Team,A25,Minor,Non-Salesforce Native
B2405,2026-01-03 16:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2406,2026-04-28 12:00:00,Production,Client User,A45,Critical,Non-Salesforce Native
B2407,2026-04-26 12:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2408,2026-03-03 10:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2409,2026-03-28 11:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2410,2026-03-18 16:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2411,2026-02-20 16:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2412,2026-01-09 14:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2413,2026-03-31 10:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2414,2026-03-29 12:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2415,2026-01-19 15:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2416,2026-04-02 15:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2417,2026-04-16 15:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2418,2026-02-10 09:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2419,2026-02-22 14:00:00,UAT,QA Team,A50,Critical,Non-Salesforce Native
B2420,2026-04-02 11:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2421,2026-02-22 12:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2422,2026-03-25 11:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2423,2026-03-20 15:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2424,2026-04-21 11:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2425,2026-01-12 12:00:00,UAT,QA Team,A30,Critical,Non-Salesforce Native
B2426,2026-04-06 15:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2427,2026-03-15 13:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2428,2026-04-07 09:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2429,2026-02-05 10:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2430,2026-01-26 14:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2431,2026-04-30 13:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2432,2026-02-25 16:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2433,2026-04-10 09:00:00,UAT,QA Team,A20,Critical,Non-Salesforce Native
B2434,2026-01-20 11:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2435,2026-03-20 10:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2436,2026-02-02 11:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2437,2026-04-09 11:00:00,Production,Client User,A50,Minor,Non-Salesforce Native
B2438,2026-03-01 13:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2439,2026-03-10 16:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2440,2026-02-08 16:00:00,UAT,QA Team,A50,Critical,Non-Salesforce Native
B2441,2026-01-29 14:00:00,UAT,QA Team,A10,Critical,Salesforce Flows
B2442,2026-04-16 10:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2443,2026-04-28 09:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2444,2026-04-24 16:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2445,2026-03-09 15:00:00,UAT,QA Team,A50,Major,Salesforce Flows
B2446,2026-01-17 12:00:00,Production,Client User,A35,Minor,Salesforce Flows
B2447,2026-04-25 12:00:00,Production,Client User,A20,Critical,Non-Salesforce Native
B2448,2026-04-09 10:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2449,2026-01-19 10:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2450,2026-02-17 16:00:00,UAT,QA Team,A10,Minor,Salesforce Flows
B2451,2026-01-03 12:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2452,2026-04-30 14:00:00,UAT,QA Team,A15,Major,Non-Salesforce Native
B2453,2026-02-08 15:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2454,2026-01-01 16:00:00,UAT,QA Team,A45,Major,Salesforce Flows
B2455,2026-04-13 10:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2456,2026-01-01 11:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2457,2026-03-06 12:00:00,Production,Client User,A10,Critical,Non-Salesforce Native
B2458,2026-04-17 11:00:00,Production,Client User,A30,Minor,Non-Salesforce Native
B2459,2026-03-23 11:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2460,2026-01-23 09:00:00,UAT,QA Team,A30,Major,Salesforce Flows
B2461,2026-03-11 10:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2462,2026-02-17 14:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2463,2026-03-17 09:00:00,Production,Client User,A15,Critical,Non-Salesforce Native
B2464,2026-02-05 13:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2465,2026-02-03 14:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2466,2026-03-24 09:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2467,2026-01-26 11:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2468,2026-03-31 12:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2469,2026-03-02 16:00:00,Production,Client User,A40,Critical,Non-Salesforce Native
B2470,2026-03-15 10:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2471,2026-03-24 13:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2472,2026-02-10 10:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2473,2026-01-28 11:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2474,2026-04-07 14:00:00,Production,Client User,A10,Critical,Non-Salesforce Native
B2475,2026-01-03 12:00:00,Production,Client User,A05,Major,Non-Salesforce Native
B2476,2026-03-15 15:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2477,2026-04-13 11:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2478,2026-04-19 14:00:00,UAT,QA Team,A35,Critical,Non-Salesforce Native
B2479,2026-04-16 15:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2480,2026-04-20 09:00:00,Production,Client User,A50,Major,Non-Salesforce Native
B2481,2026-02-02 16:00:00,UAT,QA Team,A35,Major,Salesforce Flows
B2482,2026-04-24 16:00:00,UAT,QA Team,A45,Critical,Salesforce Flows
B2483,2026-04-09 11:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2484,2026-01-30 16:00:00,UAT,QA Team,A50,Major,Salesforce Flows
B2485,2026-04-10 11:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2486,2026-04-27 12:00:00,Production,Client User,A10,Major,Salesforce Flows
B2487,2026-04-20 12:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2488,2026-01-22 09:00:00,Production,Client User,A35,Minor,Non-Salesforce Native
B2489,2026-03-03 11:00:00,UAT,QA Team,A15,Critical,Non-Salesforce Native
B2490,2026-03-01 15:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2491,2026-02-18 11:00:00,UAT,QA Team,A10,Critical,Salesforce Flows
B2492,2026-04-25 10:00:00,UAT,QA Team,A35,Major,Non-Salesforce Native
B2493,2026-01-28 12:00:00,Production,Client User,A30,Critical,Non-Salesforce Native
B2494,2026-01-05 14:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2495,2026-01-01 15:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2496,2026-01-16 14:00:00,Production,Client User,A15,Major,Non-Salesforce Native
B2497,2026-04-25 15:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2498,2026-02-10 16:00:00,UAT,QA Team,A05,Critical,Non-Salesforce Native
B2499,2026-02-19 15:00:00,Production,Client User,A45,Minor,Salesforce Flows
B2500,2026-04-09 15:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
